10151475870412592_10053099	Henry Miller
10151475870412592_10053219	fluffy
10151475870412592_10053258	fluffy
10151475870412592_10054323	FLUFFFFFFFFFFF......
10151475870412592_10054392	i LOve Agnes
10151474083177592_10043816	I love me some minions!
10151474083177592_10044721	Jordon Tyler
10151474083177592_10045824	Kyu Nguyen: i like it..:3
10151474083177592_10046406	over here
10151474083177592_10046727	Hi Dave
10151474083177592_10047331	Bestir forever
10151474083177592_10050402	Norbert Miskolczi
10151474083177592_10051397	Lil Andrew liked
10151474083177592_10056277	i have it ordered from Netflix
10200651737429014_5567767	gru skips leg days
10200651737429014_5567819	Blank Blk
10200651737429014_5568060	Kelsie Valle the end killed me..
10200651737429014_5568063	Evelyn Bennett
10200651737429014_5568445	*giggles* Leah Dover ^_^
10200651737429014_5577884	ermahgerd.  YES
10151472024302592_26556737	omg omg omg omg i love them
10151472024302592_26556935	Trevor Sayler
10151472024302592_26557286	Danielle Dykstra
10151472024302592_26557338	me <3
10151472024302592_26558719	Steven Nguyen: :S
10151472024302592_26560554	Petete
10151466363202592_10012746	debe ser entretenida
10151466363202592_10012990	despicable me 2 keep getting better and better
10151466363202592_10013168	goodbye spring hello summer
10151466363202592_10015132	flat design :))
10151466363202592_10015479	Petete!!!
10151466363202592_10018764	I hate summer!
10151466363202592_10018779	i love summer
10151466363202592_10023457	Goodbye spring Hello summer
10151466363202592_10023503	Jesse Stroud Kelsey Makris
10151466363202592_10023693	bes
10151466363202592_10035666	I prefer spring
10151466363202592_10043216	despicable me 2 popaye spring  bello summer
10151466363202592_10043583	Kids♡#DM2
10151465222882592_10016071	for nbc
10151463422487592_10005671	Jenelle Tobalske Andrea Lundy
10151463422487592_10005875	Trevor Sayler:D
10151463422487592_10032671	more like BBBBBBBBEEEEEEEEEEEEEEEEEEEEEEEEDOBEEEEEEEEEEEEEEEDDDO
10151463418597592_10047700	big fan
10151463488692592_26496217	i fxing love minions
10151463488692592_26496254	funny,,,i like it
10151463488692592_26496802	I like repeating myself. lol
10151463488692592_26497215	Dane Bogle
10151463488692592_26497808	so fun i like this video but i dont liket i lovet
10151463488692592_26498157	best happy song ever :D
10151463488692592_26503946	minions make everything better
10151463488692592_26507552	Noel Palmer Daryl Palmer
10151463242167592_9997773	I have Google
10151463242167592_9998513	Kelsey Moyer
10151463242167592_9998872	More like 3 more for me :(. Vincent Rodgers
10151463242167592_10000521	Skyler Storm Campbell
10151461896262592_9991106	Agnes
10151461896262592_9991122	Tetete
10151461896262592_9991386	omg Amy Kotilinek
10151461896262592_9991646	f
10151461896262592_9991652	fg57uy
10151461896262592_9991654	Amber Kilanski
