10151475470447592_10050368	I'm like stupid excited!!
10151475470447592_10050414	Yiippiieeeee ^_^
10151475470447592_10050936	ketal  esta la peli
10151475470447592_10051277	:3 jajaja aigh!!!
10151475470447592_10053364	Must see
10151475470447592_10053413	Its like a joke
10151475061702592_10048671	me tooo
10151475061702592_10048747	Luv it
10151474083177592_10043835	im gonna see it on july4
10151474083177592_10043950	Liiiiiiiiiiiiiiiiiiiiiiiiiiike!!!!!!!!!!! <3
10151474083177592_10044050	Vrooomm Vrrrooomm!
10151474083177592_10044115	looove minions XD
10151474083177592_10044120	Baljot Ranu ahhhhhh!!!!
10151474083177592_10044253	Rakeel Saantiago
10151474083177592_10044341	like like super LIKE!!!
10151474083177592_10044395	Tienes k no es si quieres jajajjajaaj.
10151474083177592_10044760	Love'em Miniooooooonss󾠣󾠣
10151474083177592_10044899	like it?
10151474083177592_10044915	Like like like like!!!!
10151474083177592_10045159	I just saw it!!
10151474083177592_10045289	Like LiKe LIKE!!!
10151474083177592_10045302	Like
10151474083177592_10045578	cool i like it
10151474083177592_10046657	亮瑀.
10151474083177592_10047285	XDarren See look so much like u!! XP
10151474083177592_10048230	Stupid! Stupid! Stupid!
10151474083177592_10048258	Baby! Vamos a mirar esta peli sii?!! Anda ajaja Jesus Quezada Miranda
10151474083177592_10048607	Hannah Umsted look its us lolz!!!!!
10151474083177592_10049562	looks funny
10151474083177592_10049644	looks awesome
10151474083177592_10049694	I can'tt waaaaaaaaaaaaaiiiiiiiiiiiiiiiiiiiittttttttttttttttttttttttttttttttt!!!!!!!!!!!!!!!!!!!!!
10151474083177592_10050286	I like this
10151474083177592_10051300	:like:
10151474083177592_10051384	Vanina Aguilera .-. miraaa!! :O
10151474083177592_10051478	I feel like a minion!!
10151474083177592_10051974	my kids like it
10151474083177592_10053357	i just saw it IT WAS AMAZING
10151474083177592_10053698	Like like
10151474083177592_10053989	Kaitlin Hibbs
10151474083177592_10054242	looks geh
10151474083177592_10054860	Marissa Danielle Aileen Vargas
10200651737429014_5567954	Looks good
10200651737429014_5568068	I like it
10200651737429014_5568224	Me llebas amor siiii please
10200651737429014_5568536	eminem
10200651737429014_5568569	Kirasha Lemaris Krystal E. Borges
10200651737429014_5568604	like  :)
10200651737429014_5569309	The girl looks like Meekakitty
10200651737429014_5569476	kjujkunfgutgjjklloj
10200651737429014_5569991	Toni Whalen
10200651737429014_5570075	like
10200651737429014_5571244	minionnnnsss
10200651737429014_5571262	luv it <3
10200651737429014_5572230	kids just excited.
10151472024302592_26558745	I just saw u guys on tv. :)
10151472024302592_26560671	Anna Vardaro
10151472024302592_26561230	Nadia, Andika, Putri, Deszlaria miniooooonnnn :D
10151472024302592_26563830	Kristianna Kolitsida, Angelika Kypraiou
10151466363202592_10012879	Katerina Ven
10151466363202592_10013104	Uhuhuhuhuuu.. poopaye.. :D
10151466363202592_10015160	Jajaa
10151466363202592_10019467	:like:
10151465222882592_10007077	Karisa Sarvela
10151465222882592_10007106	kool
10151463422487592_10005872	ng tin'i voni ku io le?
10151463422487592_10005953	Haha ♥♥♥ minionssssss!!!
10151463422487592_10006578	I like his V shape figure. Haga
10151463422487592_10006613	must see...I MUST SEEE...
10151463422487592_10006678	he looks like a wine glass
10151463422487592_10006882	My joise likes it
10151463422487592_10009922	lmao
10151463422487592_10039661	pii doo pid oooo
10151463418597592_10007605	Illuminati(on)...... Illuminati!!!
10151463418597592_10050107	illumination-illuminati
10151463488692592_26496324	jajaja Payes Stepha y Rafaela Càceres hay salen ustedes peleando jajajajaja!!!!
10151463488692592_26496422	Rakeel Saantiago
10151463488692592_26496699	Luv it
10151463488692592_26497252	Jasmine Kim
10151463488692592_26497916	Anna Vardaro
10151463488692592_26497945	Gemma Rosas
10151463488692592_26498676	makes me smile :)
10151463488692592_26499029	Kool
10151463488692592_26499923	it makes me think.... dafuq i just saw?
10151463488692592_26500423	luvit
10151463488692592_26501085	I like this
10151463488692592_26501812	it makes me ..HAPPY
10151463488692592_26502327	Komal Ismail
10151463488692592_26502942	Livia fust ahahha ase herzig
10151463488692592_26503584	luvs it
10151463488692592_26504143	Karisa Sarvela
10151463488692592_26506913	i feel like a minion
10151463488692592_26507198	k
10151463488692592_26507517	i luv it
10151463488692592_26507687	duklaineklainehure
10151463488692592_26509681	miami heat
10151463488692592_26510101	I like it.:-)
10151463488692592_26511402	minion!!!
10151463488692592_26512762	i luv it
10151463488692592_26517799	I like it! lol
10151463488692592_26518680	I like it
10151463488692592_26531147	like it!!
10151463488692592_26545383	like
10151463488692592_26553013	jam
10151463488692592_26572557	Vanessa, Alas, Aldo
10151463488692592_26574718	Mustafa Kamal
10151463242167592_9997708	Kaitlyn Kessel :)
10151463242167592_9997977	Karissa Wood
10151463242167592_9998121	Kristianna Kolitsida
10151463242167592_9998319	asdfghjkl! <3
10151463242167592_9998337	minion !!!
10151463242167592_9998503	Katerina Ven
10151463242167592_10000052	David Aristide ohhhhhhhhhhhhh ouiiiiiiiiiiiiiiiiiiiii
10151463242167592_10000055	Anna Vardaro
10151463242167592_10001081	loooove Agnes!
10151463242167592_10002306	Victoria Tesselaar
10151463242167592_10003365	Krista Gjataj
10151463242167592_10004698	hiihughz7hjug
10151463043292592_9997122	Ummm, oookkkaaayyy...I still like mine, "Potato!"
10151461896262592_9991302	minion!
10151461896262592_9991307	Amanda Allmon Vega
10151461896262592_9991332	Vanessa Echivesti
10151461896262592_9991419	minion!!
10151461896262592_9991449	Rakeel Saantiago
10151461896262592_9991457	Heheh Javi Luvian
10151461896262592_9991459	Donna Kummer
10151461896262592_9991683	Annabel Lee
10151461896262592_9992010	evil one
10151461896262592_9992019	OMG Ulysses Tamayo Jesus Aguilera Citlalli Gallegos
10151461896262592_9992067	Julissa Fitts
10151461896262592_9993015	Julius Alguila
10151461896262592_9993213	I like all
10151461896262592_9995217	i like mininois....:)
10151461896262592_9995344	Fabiola Escamilla let's make em!
10151461896262592_10015661	me gusta
10151461642247592_9990559	Anaselia Galli :)
10151461642247592_9998254	Vanessa M. Wilson
10151461642247592_9999758	Kool
10151461642247592_10001518	All seeing eye jus got real lol
10151460189872592_26471684	jajajaa que cheveree
10151460189872592_26471813	Puja R Patel
10151460189872592_26471835	Luke Fisix
10200590565219747_5530642	Vendula NEJLEPŠÍ !!!!!!!!!! :):DD
10200590565219747_5530775	I luv it
10200590565219747_5531018	looks good
10200590565219747_5531087	Ashlee Arielle Malik Jessica Malatesta
10200590565219747_5531165	looks looks like it will be good
10200590565219747_5531202	OMG! muse see movie
10200590565219747_5531330	Chloe' Humes-Salinase
10200590565219747_5531453	Olga
10200590565219747_5531562	Danii Chava
10200590565219747_5531760	kab release hai
10200590565219747_5531874	must see
10200590565219747_5531885	Must see
10200590565219747_5532310	Rakeel Saantiago
10200590565219747_5532688	I,like it
10200590565219747_5533020	Leisa Vigil
10200590565219747_5533268	He I'd just like Adam Jackie Pelham
10200590565219747_5533361	Mohammad Eesa :D
10200590565219747_5533606	looks like an awsome movie!!!!!
10200590565219747_5534863	Soumik, Seemant!!
10200590565219747_5537842	Me too!! Loooj!!!
10200590565219747_5543089	iiiiiiiiiii loveeeeeeeeeeeeeee thisss i have to seeee it
10200590565219747_5546584	looks awesome
10200590565219747_5547312	Alejandro Molina Melendez miraaaaa se ve buenísima!
10200590565219747_5555447	like it
10151453631942592_9971048	He looks more like Miss Piggy!
10151453631942592_9971124	it looks good on him
10151453631942592_9971376	Jimmy Lee Hill-Krug
10151453631942592_9971392	He looks mad
10151453631942592_9971654	this looks like jenny lol
10151453631942592_9971862	jaja  beautiful.
10151453631942592_9971906	kute ^^
10151453631942592_9972959	he looks good
10151453631942592_9974018	hahaha looks like someone I knw
10151453631942592_9974373	Gru u looks sweet :)
10151453631942592_9974456	A homie it looks just like your
10151453631942592_9974906	must see
10151453631942592_9974912	Fernando Padilla Guillen aki estas tu....jajajajA
10151453631942592_9975023	Looks like Fat Albert.
10151453631942592_9975629	There goes Kaija !!! ctfuuuu
10151453631942592_9977504	Gru is looking cuuuteeeee pie ;)
10151453631942592_9977719	Gru luks too sweet
10151453631942592_9982040	like
10151453631942592_10010304	I like it
10151453703652592_9964633	Hollis Finnegan
10151453703652592_9964689	Olga Noriega
10151453703652592_9964973	She looks Familiar
10151453703652592_9966284	Kristina Ullman
10151453703652592_9976922	lol jaja
10151453634962592_9959582	Cute kid
10151453634962592_9959592	I like
10151453634962592_9959620	I don't like him already
10151453634962592_9959632	Gru is gonna kill him lol
10151453634962592_9959711	moiiiii <3
10151453634962592_9959722	like
