419551477591_2817395	Good night kisses
419551477591_2817920	"... like sleeping?"
419551477591_2818092	loved his moviiieee!!! :3
419551477591_2818403	Liiiiightbullbb. 
419551477591_2818683	lighht buulb
419551477591_2819625	Wanna see it...
419551477591_2819666	lite bulb!
419551477591_2822517	"...like Santa Clause! :D"
419551477591_2825151	i luv agnes
419551477591_2825861	k
419551477591_2825864	Jajajajjajjaaajaaaaa, precious!!!!!!!!!!111
419551477591_2850681	make  them  drink   milk
419551477591_3731366	Soooooooooooooooooo Cuuuuuuuuuttttttttteeeeeeeeeeeee
419551477591_4772838	like sleeping they r not pajamas
419551477591_8803396	'Cool stuff like sleeping?'
114439718608568_382507	(-0-)(,_,) minion?
114439718608568_383806	like
128373800539579_804964	kool
141925515833483_1102372	kool
138296222866138_1042313	everything jason segel said <3
125379754172071_707512	looks funny as all
131308593573389_882779	its looks sooooo FUNNY!!!!!
131308593573389_883290	like! like! like!
131308593573389_883790	i like this
411696482591_2689192	kewlio
411696482591_2693744	niiice......lol
411696482591_3357097	1.lmlkkjkj
411696482591_4085698	haha..poor russell
411696222591_2689266	look a minnime!!!!!
411696222591_2737081	you look stupid
411696222591_3612405	Just like u
141524869197121_1071469	VAGINA.
849804892055_1999110	i likeit!!!!!!!!!!!!
106640889386474_167496	me 2  it looks ggod!!
123132391062650_640110	Yea looks good :)
109126755803200_226867	^^ Stooopid
406762075162_13141101	this looks like a good movie
118149141563042_620186	wwwwhhhhazteve losers ja ja ja
406457585162_13134187	iiiiiiiiiiiiiiiiiiiiiiiiii llllllooooooooooovvvvvvvvvvveeeeeeee this part its ssosososos FLUFFY
406457585162_25369687	My tuurrnnn!
406884592591_2626181	ok i like this
131327496892016_864319	Josephine seems like a sharp one!
405072325162_13101042	luv it !!!
112729932106834_331527	yes...just got mine
132733743406062_813502	A must see. 
397760210162_12972795	seems ok
397760210162_13205848	iiiiiittttttttssssss ssssssoooooooo fffflllluuuffflllyyy im ggggoooonnnnnnnaaaaa ddddddiiiiiiiieeeeeeee! lol
397528475162_12954893	I like minions...
397528475162_12982242	minyuuuuuuuns!!!!!!!!
397447005162_13151682	i neeeeeeeeeeeeed a minion too!!!
119425661414882_666863	neva getts old
113229775373376_311166	I like MinionMail.
188382577591_13257522	ohh
346374851134_12188014	looks a bit like Spongebob  :)
346374851134_13650515	Taru is mine!
329829905162_11523439	haha, juste mortel ! :D
298681217448_10713172	I like it
221686580162_8857090	I like it :)
221512542591_2835637	they look like kinder suprises
