10151453634962592_10001558	MH Mohammadi خب من که صبر ندارم که :| کی میاد بیرون؟ :|
10200585376410030_5520775	خايب
10151439301947592_9898197	هه هه کون :D
10151450219560163_25424309	چقدر من این موجوداات رو دوست دارم
10151450219560163_25469851	اي طيبه اني هم شايفته..
10151428304222592_9848925	راضیم ازششششششششششششششش
10151418432967592_9803848	Ali Abdulhalimههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه:(مس يو
10151417714262592_9796968	عاشق این انیمیشنم
10151417714262592_9801686	عاشق طرز نگاه سمت راستیم!
10151407826887592_9740036	انیمیشن خوبی بود
10151407826887592_9742317	سپااااااس سایه ..
10151404381412592_9747087	این کی میخواد بیاد
10151414564815163_25129647	Wael Tahaلبت ديه اسطوررررررررررررررررررررررررررررة
10151414564815163_25129743	وای این برنامه عشخمه :*
10151373221772592_9453659	عاشق این انیمیشنم
10151368188367592_9413578	عاشق این تیکه فیلمم <3
10151339830222592_9222162	من نفرت انگیز خیلی خوب بود
10151335750077592_9184532	این دختر کوچولو رو خیلی دوس دارم
10151330664562592_9192903	ای جاااااانم
10151326031392592_9129387	من اینا رو دوس دارم
10151325099522592_9119749	ههههههههههههههههههههههههههه
10151318828872592_9081018	همه جا به نوبت :)
10151292529897592_8969611	عاشق این تیکشم که میخواد دوباره مسابقه بده و اسب تک شاخ رو ببر
10151265607997592_25052480	دوستون دارم
10151259154712592_8802863	عاشق بچه هاشم:-)
10151252841017592_8877907	ای گیان عزیز دله که م...!
10151210229107592_8730748	چقدر دندوناش شبیه توهه!
10151206995862592_8644737	ای کاش می فهمید چقدر دلم براش تنگ شده :(
10151167466782592_8461435	بهتربن انیمیشنی که دیدم
10151167258002592_8428528	توأم سيامي ؟؟؟؟
296638653785632_1323457	من عمه ام را دوست دارممن عمه ام را دوست دارممن عمه ام را دوست دارممن عمه ام را دوست دارممن عمه ام را دوست دارممن عمه ام را دوست دارممن عمه ام را دوست دارممن عمه ام را دوست دارممن عمه ام را دوست دارممن عمه ام را دوست دارم
