10151475870412592_10052366	Beautiful!!
10151475870412592_10052448	Illumination ent??? Hmm
10151475870412592_10052619	Clestine Chan
10151475870412592_10052673	super duper fluffy unicorn! :)
10151475870412592_10054585	Agnes so cute
10151475870412592_10056346	Agnes Agnes Agnes!
10151475470447592_10050361	Sal LHommedieu
10151475470447592_10050479	Jacqueline Danielle Bess
10151475470447592_10050659	You (Joshua Lopez-Roque, me, date night ♡
10151475470447592_10051453	Yes !!!
10151475470447592_10052497	Papple
10151475470447592_10052535	Let's go
10151475061702592_10048758	cute!!!!!!
10151474083177592_10043362	Ariane Fontaine
10151474083177592_10043617	I guess
10151474083177592_10043686	Marina St-sauveur
10151474083177592_10043865	Que  le  pasa
10151474083177592_10043985	Onions? do you mean Minions?  ;)
10151474083177592_10044186	Sure ^
10151474083177592_10044378	LOL!!!
10151474083177592_10044566	LIKELIKELIKE
10151474083177592_10044737	I ♡ minions!
10151474083177592_10044793	Kurtis Compton!! Our movie
10151474083177592_10044920	Ohsome movie!!!
10151474083177592_10045405	You mean call you agine
10151474083177592_10045414	3133759440 call  me let's see
10151474083177592_10045571	Enrique Hernandez and chris galloi
10151474083177592_10046488	Cuties!
10151474083177592_10047241	cute
10151474083177592_10047988	cant.
10151474083177592_10048893	love me some cg movies!!
10151474083177592_10049236	se vai esperar eu??? rsrsrs love you
10151474083177592_10050771	lets GOOOOOO
10151474083177592_10051925	YES!  More Agnes!
10151474083177592_10052595	you cant drive or use stick
10151474083177592_10052937	Could you even  drive
10151474083177592_10053360	Aint gonna lie yep
10151474083177592_10054877	funiest movie ever
10151474083177592_10054878	Enrique. cx
10151474083177592_10055162	j'adore ce dessin animée
10151474083177592_10056264	LOL
10151474083177592_10056834	Your favorite part Andrew Pantzer
10200651737429014_5567678	Cristian Gutierrez
10200651737429014_5567738	Leslie Salais
10200651737429014_5568133	Sylvie Vincent :D
10200651737429014_5568311	love minions!!!!!!
10200651737429014_5568785	Sophie Ellis
10200651737429014_5568883	LOL
10200651737429014_5568940	LOL
10200651737429014_5569035	Laurie Anne
10200651737429014_5569388	Cant Wait!!!
10200651737429014_5570040	LOL
10200651737429014_5570338	Lauren :)
10200651737429014_5570500	LUCKY
10200651737429014_5570521	Clestine Chan
10200651737429014_5571185	minions :3
10200651737429014_5571517	LIKR
10200651737429014_5571908	minions!!!!!!!!
10200651737429014_5572433	LOL
10200651737429014_5573182	LOL :P
10151472024302592_26556886	Love minions!!!!
10151472024302592_26556892	pappoye xD
10151472024302592_26556909	pappoye......
10151472024302592_26559704	cutie cute cute ever!
10151472024302592_26560942	minions!
10151472024302592_26564567	Allison Hédan :3
10151472024302592_26565040	minions!!!
10151472024302592_26565092	minions!!!
10151472024302592_26591364	Carl Bonnevie
10151466363202592_10012647	LOL!
10151466363202592_10012893	Minions rule!
10151466363202592_10012951	Lexie Jarreaux
10151466363202592_10012967	LOL LOVE MINIONS :D
10151466363202592_10013052	Jacqueline Bermudez
10151466363202592_10013593	lol minions rule
10151466363202592_10015921	Lexi Sinclair
10151466363202592_10017727	Love my minues!
10151466363202592_10017793	LOL
10151466363202592_10019201	LOL
10151466363202592_10020917	l
10151466363202592_10023561	Omg!!! Tori Beauclair
10151466363202592_10023912	you did nt put a m
10151466363202592_10024207	Bapple? Bapple!!!! BBBBBBBAAAAAAAAPPPPPPPPPLLLLLLLLEEEEEEEEEE!!!!!!!!!!
10151466363202592_10027091	your movie
10151466363202592_10050382	LOL
10151463422487592_10005669	Excitement!
10151463422487592_10005684	cute
10151463422487592_10005765	Fire? Omg
10151463422487592_10006241	Gru cant smile :(
10151463422487592_10006260	Fire!
10151463422487592_10006845	Clestine Chan
10151463422487592_10019216	uncale fester get's a job
10151463422487592_10028727	cuties
10151463418597592_10004500	1 comment
10151463488692592_26496272	cute song
10151463488692592_26496311	LOL CUTE
10151463488692592_26496319	Danielle , Ca m'a fait penser a toi!!! :D
10151463488692592_26496353	cute
10151463488692592_26496383	Leslie S. Cruz Lyanne De La Cruz
10151463488692592_26496645	Emma Claire Tyson
10151463488692592_26496693	cute ˆ_ˆ
10151463488692592_26496741	^_^ :P :d :O
10151463488692592_26496770	Luv it Because Im Happy
10151463488692592_26496771	Andrée Anne Renaud
10151463488692592_26496970	Alex Alex Dicu
10151463488692592_26497043	Luv it.
10151463488692592_26497397	Brett Miquelon... Minions :)
10151463488692592_26497398	LOL
10151463488692592_26497630	Laury Beauchamp ouuiiiiii :) j'ler réécouté tantot ^^
10151463488692592_26497658	cute!!!
10151463488692592_26497692	Callie Lee
10151463488692592_26498007	More minions pls.. 2:07 Lol
10151463488692592_26498204	Marie-France Pouliot Jézuuuus :)
10151463488692592_26498490	Julie Flores <3
10151463488692592_26499192	Isabelle Tessier Buisson <3
10151463488692592_26499388	Callie Lessor clap?
10151463488692592_26499599	cute
10151463488692592_26499779	cute
10151463488692592_26501057	cute
10151463488692592_26501117	le clap !
10151463488692592_26501784	happy papouet! 8D
10151463488692592_26502234	Leo Lee
10151463488692592_26502860	cute!!!!!!
10151463488692592_26503552	Because I'm Happy!! :> you? :D
10151463488692592_26503854	chair dancing!!!
10151463488692592_26505584	Valérie Magnan-Levesque C'est TROP CUTE!!!!
10151463488692592_26506151	cute :)
10151463488692592_26506463	cute
10151463488692592_26509247	Si tu as une mauvaise journée écoute cette chanson Audray Duquette.... tu peux pas etre malheureuse en écoutant ça
10151463488692592_26516460	LOL OMG
10151463488692592_26522264	Sébastien!! :D
10151463488692592_26539601	clap x3
10151463488692592_26547229	cute!!!!!!!!!!!!
10151463488692592_26547568	cute!!!!!!!!!
10151463488692592_26591423	Carl Bonnevie <3
10151463242167592_9998752	Marie-Maxime Bélanger
10151463242167592_9999536	agnes <3
10151463242167592_9999823	<3 u agnes
10151463242167592_10000327	agnes ♥
10151463242167592_10000537	Lourdes Monroy (:
10151463242167592_10000720	Vincent C. Willie =D
10151463242167592_10000852	Andres Virag
10151463242167592_10001060	agness..... <3
10151463242167592_10001446	LOOL YEAHHHH
10151463043292592_9996728	minions assemble.
10151463043292592_9997310	minions :D
10151463043292592_9997745	dumb
10151463043292592_9998454	minions rule XD
10151463043292592_9998490	minions rule
10151463043292592_10000236	congrats!!
10151463043292592_10001045	L
10151463043292592_10022586	Maude Héon Grandchamp Des bananas󾁐󾁐󾁐
10151463043292592_10022596	Fesses. Frédérique Hébert-Mondragon
10151461896262592_9991030	Minions duh
10151461896262592_9991044	Minions Assemble!
10151461896262592_9991046	cute
10151461896262592_9991062	minions!
10151461896262592_9991069	UNICORN.!C:
10151461896262592_9991094	minions....
10151461896262592_9991161	minions! :-)
10151461896262592_9991178	ALL !!! <3
10151461896262592_9991251	minions lol
10151461896262592_9991303	Alexandra Quint , OMFOMFOMFOMF.
10151461896262592_9991347	Lu Lu D cute
10151461896262592_9991370	purple minon
10151461896262592_9991384	Agnes!
10151461896262592_9991385	Minions. No contest.
10151461896262592_9991424	Agnes!!!
10151461896262592_9991427	agnes!:)
10151461896262592_9991452	cute!!
10151461896262592_9991482	cute
10151461896262592_9991538	Agnesssssssssssss!:)
10151461896262592_9991554	minions!
10151461896262592_9991569	minions!!!
10151461896262592_9991628	minions!
10151461896262592_9991796	cute
10151461896262592_9991800	unicorns Béa Cadieux
10151461896262592_9991862	dt qua
10151461896262592_9992044	Super cute!
10151461896262592_9992224	purple
10151461896262592_9992331	minions!
10151461896262592_9992381	Paulette Jumalon
10151461896262592_9992440	minions rule! lol
10151461896262592_9992479	Minions. No contest.
10151461896262592_9992488	agnes
10151461896262592_9992502	Agnes.
10151461896262592_9992665	uincons
10151461896262592_9992716	minions!!!!
10151461896262592_9992773	purple minion
10151461896262592_9993192	Luxe Botanique
10151461896262592_9993220	Gabrielle Ellie Liounis !!!!!!!!!!!!!
10151461896262592_9993438	Jasmin Enriquez
10151461896262592_9993839	minions :D
10151461896262592_9993914	purple minion
10151461896262592_9994551	cute
10151461896262592_9994701	purple minion
10151461896262592_9994716	Camille Gosnet!!!!!!
10151461896262592_9994909	fluffy ponies!
10151461896262592_9994931	minions :D
10151461896262592_9995023	cute
10151461896262592_9995073	purple minon
10151461896262592_9995193	purple minion
10151461896262592_9995451	Gru's minions!!!! I love those little dudes!!!
10151461896262592_9995505	purple minion
10151461896262592_9995823	minions!!!!!!!!
10151461896262592_9995995	purple minions! so cute!
10151461896262592_9996093	purple
10151461896262592_9996332	Let's do it! :)
10151461896262592_9998328	purple minion!!!!!!!!!!!!
10151461896262592_9999142	minions!!!!
10151461896262592_9999210	minions :D lol
10151461896262592_10012507	purple minion
10151461896262592_10015360	purple minion!
10151461642247592_9989685	Dave Lets go.
10151461642247592_9989699	come to vancouver WA!!
10151461642247592_9990374	Ok sure!
10151461642247592_9990815	LOL
10151461642247592_10002099	(L)
10151461642247592_10005123	HELL YEAH  destiny Dodson
10151461642247592_10007938	Sam Gilles
10151461642247592_10012254	I saw it go Louisville,ky
10151460189872592_26471681	Louie Tiongson
10151460189872592_26471817	Cutes.
10151460189872592_26472832	cute
10151460189872592_26472835	Danielle Coley
10151460189872592_26477125	LMAO!  I LOVE minions!!
10200590565219747_5530502	Jazmaine Cullens
10200590565219747_5530581	LOL
10200590565219747_5530664	LOL!
10200590565219747_5530711	Cant Wait!
10200590565219747_5531015	Absolute treasure!!!
10200590565219747_5531581	evil minions,,,damm crazy characters !!! ...lolz
10200590565219747_5531623	Sarah Sarah Demers Pearson Évelyne Tétreault
10200590565219747_5531679	Love Agnes!
10200590565219747_5531795	super ;D
10200590565219747_5531852	*flail*
10200590565219747_5532534	bapoie
10200590565219747_5532694	1:58 LOL
10200590565219747_5533108	Yes!
10200590565219747_5533298	LMFAOAOOOAOOA
10200590565219747_5533396	LOL!
10200590565219747_5533573	Lau Guerrero
10200590565219747_5534037	minions and agnes  ♥
10200590565219747_5534110	cant wait .... i love despicable me !!!
10200590565219747_5534498	Yes!
10200590565219747_5534807	minions...:D
10200590565219747_5536207	LOL
10200590565219747_5540312	LOL
10200590565219747_5545861	Alex Martinez
10200590565219747_5548625	not funny
10200590565219747_5567409	Garix Lim
10151453631942592_9970818	LOL
10151453631942592_9970986	LOL
10151453631942592_9971279	LOL
10151453631942592_9971296	LOL
10151453631942592_9971297	LOL
10151453631942592_9971350	LOL
10151453631942592_9971484	LOL
10151453631942592_9971818	cute!
10151453631942592_9972663	LOL
10151453631942592_9972897	LOL!! <3
10151453631942592_9973337	nice dress!
10151453631942592_9973443	LOL
10151453631942592_9974355	Elle est trop bonne votre femme :  Djo Bling Bling, Quentin Boulanger , François Mouaz mouahh ;P
10151453631942592_9974364	C est quand le mariage :P
10151453631942592_9975671	I love ur hair lmao XD 󾌪
10151453631942592_9976458	Nice dress
10151453631942592_9976688	LOL
10151453631942592_9976717	LOL
10151453631942592_9976791	cute
10151453631942592_9978443	Monique looks like uXD
10151453631942592_9978474	No it's u Monique haha
10151453631942592_9978489	Monique it's u I'm sure of it !XD
10151453631942592_9978511	Ha no it says Ur name (Monique) up der;)
10151453631942592_9978782	Beautiful:)
10151453631942592_9981911	lol...dance fairy dance! to funny
10151453631942592_9993545	LOL!
10151453631942592_9999812	cute
10151453631942592_10004009	que loko
10151453631942592_10004156	lo moi aussi je trouve sa trop !!!
10151453631942592_10010841	*claps*
10151453631942592_10015523	LOL
10151453631942592_10052905	LOL
