10151475870412592_10052246	Unicorn! M gonna die.
10151475870412592_10052271	"its so fluffy I'm gonna die!" Cutie pie
10151475870412592_10052482	A unicorn! :)
10151475870412592_10052722	Kendall Paquette
10151475870412592_10052812	Illuminati.....
10151475870412592_10053048	Maritza Uscanga
10151475870412592_10053087	It's so fluffy I'm gonna die lol love it
10151475870412592_10053106	So fluffy I'm gonna die!!!!
10151475870412592_10053127	Epicness
10151475870412592_10053193	cazy
10151475870412592_10054988	Its so fluffy i'm gonna die!
10151475870412592_10056181	Illuminati.
10151475470447592_10050312	Im gonna die....
10151475470447592_10050876	Vincenzo Yacuzzi Jr CANNOT WAIT!!!!!!
10151475470447592_10051185	Martin Lopez :D
10151475470447592_10052466	Hello
10151475470447592_10052681	Natalie
10151475061702592_10048656	Ba ba ba bana na na..potatto o o oSent from Vodafone Social Updates
10151475061702592_10048920	I LOVE MINIONS
10151475061702592_10051411	iluminati film
10151474083177592_10043358	idc
10151474083177592_10043387	Juanita Alonzo :)))))
10151474083177592_10043576	Marci Pratt
10151474083177592_10043589	Stephanie Mendiola Jaramillo and Sirenia Sanchez andd Paloma Paz
10151474083177592_10043635	I sure cant
10151474083177592_10043968	so cute
10151474083177592_10043970	Stella Ruggiero
10151474083177592_10044034	Joe Leonelli...us.
10151474083177592_10044369	cute animation ...
10151474083177592_10044408	Balbino Lopez󾬒
10151474083177592_10044502	I cant
10151474083177592_10044706	Arianna Meier
10151474083177592_10044878	i cant
10151474083177592_10044923	Rita give me a call
10151474083177592_10045132	Antonio Deras
10151474083177592_10045368	Can I call
10151474083177592_10045446	Lol Imie Gallow
10151474083177592_10045449	I'm goin
10151474083177592_10045481	Cami Pessin
10151474083177592_10045612	Lol
10151474083177592_10046075	tre Sal caut si Eu ptr ai mei 
10151474083177592_10047041	nice....
10151474083177592_10047298	"Bottom." MWAHAHAHA!
10151474083177592_10047400	Joselle Mariano
10151474083177592_10047472	I love minions!!
10151474083177592_10048121	Bottom. Lol love it
10151474083177592_10048278	Alicia
10151474083177592_10048316	Yhup! <3 Ilse Quezada Leyva
10151474083177592_10048540	i cant!!!!!!!!!!!
10151474083177592_10048767	putin lol
10151474083177592_10048971	i do
10151474083177592_10049759	AnnaMarie DiFilippo
10151474083177592_10049909	i do
10151474083177592_10050003	I <3 GRU!
10151474083177592_10050579	Q chulito :-) :-)
10151474083177592_10052786	i love minions
10151474083177592_10052963	Maggie Escobedo
10151474083177592_10053866	Rosa Saenz
10151474083177592_10054665	la mejor pelicula, nunca me diverti tanto, veanla no se la pierdan
10151474083177592_10055137	Mi.  Billano.  Favorito
10200651737429014_5567666	Cassie Sosa
10200651737429014_5567688	I... no. Lolol
10200651737429014_5567702	Araceli Trujillo ^_^
10200651737429014_5567707	Maggie..uhh no-.-..lol xD
10200651737429014_5567712	Pam Colmenares leggggo ;)
10200651737429014_5567730	Lol
10200651737429014_5567775	󾌱 Lol
10200651737429014_5567854	Felipe Moreno
10200651737429014_5568091	AJ AJ Cassell
10200651737429014_5568516	I need a date
10200651737429014_5569160	Minion: uhh no.
10200651737429014_5569540	gotta see it
10200651737429014_5569943	Lol
10200651737429014_5570297	Lol
10200651737429014_5570586	Gotta see it
10200651737429014_5570649	omg so cute!!!!
10200651737429014_5570990	nice
10200651737429014_5571206	soo cute <3
10151472024302592_26556830	Aarti Patel
10151472024302592_26556876	I love minions!
10151472024302592_26557571	Bappa da boi? (Minion Speak) lol
10151472024302592_26557701	Marianita Pacheco asi! *.*
10151472024302592_26557831	love da minnions!!!!
10151472024302592_26557885	Corrin Gabbard
10151472024302592_26557935	I LOVE MINIONS
10151472024302592_26559044	Lisette Viamontes!!!!!!!!!!!!!!!!
10151472024302592_26559651	Linda Belleau
10151472024302592_26563090	Fantastic! :3
10151472024302592_26565649	Gloria Breck
10151472024302592_26571767	can I have a minion plezzzzzz
10151466363202592_10012657	Lol
