10200651737429014_5567814	Ka Aristizabal
10151466363202592_10012983	Kmsl
10151466363202592_10014833	Wuts up Zsa Zsa??
10151463422487592_10005707	Teona Totadze :D:D
10151463422487592_10010055	gru not amused
10151463488692592_26499327	Lizz Rojas
10151463488692592_26500805	its amazing
10151461642247592_10001102	<3!!!! us!!!
10200590565219747_5539308	Sjors Mattijs
10200590565219747_5539739	botum
10151453631942592_9970826	Gru :v
10151453634962592_9959770	Katie's Imvu LOOK
10151453634962592_9959822	gasp...
10151453634962592_9960744	*gasp*
10200585376410030_5520156	nvm
10200585376410030_5521197	mr.gru..^_^ ^_^
10200585376410030_5524647	mazipie
10200585376410030_5525616	A gdzie zdjecie brata
10151451634442592_9950311	I 󾬖Gru!
10151451634442592_9958957	gru is awsm
10151459176355163_25481419	3 ms
10151459176355163_25501523	Erick Rojas
10151441542812592_9909712	Daniela Rivas
10151441203797592_9913946	gru is back
10151439790857592_9900251	lipstick tazer
10151439790857592_9904415	lipstick tazer
10151450219560163_25409853	Erick Rojas
10151450219560163_25412660	nvm
10151450219560163_25415770	Ruska Abesadze
10151450219560163_25417996	Sara Silva
10151450219560163_25418756	Jc Guzman
10151450219560163_25421939	Tomasz Kapustka
10151450219560163_25424218	Xavier Ramirez
10151450219560163_25426927	Javier Paz
10151450219560163_25434561	Claire Tuflija!!!!
10151450219560163_25476778	Marieka Pierce
10151443077910163_25363791	@liz Liz Trieu
10151443077910163_25386751	*tied
10151429000812592_9854222	gru!!!!! :)
10151428304222592_9967258	Ops!
10151427306717592_9844267	Zil
10151427306717592_9850122	*gru*
10200472102578255_5422210	Claire Tuflija!!!!!
10151417011402592_9792782	Gru.....just gru
10151417011402592_9793095	Gru gru racer
10151415572652592_9784949	starple
10151422651655163_25296303	AHHH <3 Marieka Pierce
10151422651655163_25298095	Rosa Cruz!
10151422651655163_25298340	vickie
10151422651655163_25539961	Liz Rivas
10151407826887592_9904075	pi pi pi pupupu
10151404381412592_9727488	lots...
10151414564815163_25130118	Arpita Majumder
10151398090192592_9681170	Wojtek Kuras
10151404405045163_25054700	toparatu
10151389928987592_9595138	Dato Abuladze :D
10151389928987592_9606238	Piru!
10151388204067592_9576695	Ziet
10151387585027592_9570756	Popie...??? No no its popai.:)
10151378728487592_9495687	Usman Pervaiz Malik
10151374761677592_9487598	Javier Alvarez
10151373221772592_9453275	Claire Tuflija! <3
10151368188367592_9418777	cutie pies
10151349338522592_9279652	I js luv Gru..... <3
10151338374067592_9201400	baju tidur tor, baju tidur itu...
10151338374067592_9201427	not pajamas!   not pajamas!  :D
10151338374067592_9222527	nkaka-miss na c Vector
10151338374067592_9340780	(stfu)
10151335750077592_9180592	Gru vs Kratos!
10151330420587592_9152374	gru :)
10151329306012592_9143450	Lipstick taszer!!!
10151329306012592_9278377	dz
10151328985102592_9138639	lipstick tazer
10151325099522592_9114622	Tiko Japaridze
10151325099522592_9116913	AAAAHAHAHAHAHAHAH! :v
10151315760852592_9063241	<3 Gru & Kids <3
10151315760852592_9073394	I ♥ Gru!
10151315760852592_9216995	gru :)
10151307513457592_9022438	:i
10151292529897592_9003448	plz Mr gru
10151267206667592_8837844	gru ....
10151259154712592_8802889	gru zz
10151253604482592_8779170	stfu!!!
10151252841017592_8775229	Puppies!!!!!!!
10151251799335163_24184646	Lucas Marsiske
10151251799335163_24187065	Menodo.breakfast.jumjum?
10151218956467592_8710951	Movies :)
10151167477412592_8509451	Tru Gru.
10151167531672592_8503027	♥babies
296638653785632_1317614	Maids <3
240687586060779_962011	mjcxzsa
313610242025083_3820546	Gru not grub
313610242025083_3993755	Gru's nemesis
176253002408694_2205404	Gru, not Gur lolz
176253002408694_3021229	its got gru-attude
457575812591_3354617	OMG HOW CUTE! ~noms~
1671398630588_1021152	gru is AWESOME!
173329319346053_2056381	its ok laura.. I believe u.
152407381448276_1458753	gru is not a girl
145645118808218_1367168	gru!
420135297591_2831728	its NOT pajamas
