10151475870412592_10052258	SO FLUFFEH!
10151475870412592_10052550	╬═╬ NAO DESA A ESCADA╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬Você está me ouvindo? Não vá!╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬Olá ...? Eu disse para não ir.╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬Pare com isso! Não vá para baixo.╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬Okay. Se você quer ser assimentão vá.╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬Você ainda é teimoso e vocêNão está me ouvindo ...╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬Eu não posso mais falar com você.╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬Você pode por favor me ouvir?╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬Você é idiota se você vai lá para baixo.╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬Ok, eu não vou dizer a vocêmais uma vez ... não vá.╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬Sério .... Eu disse para parar!╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬Você está entediado ainda?╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬Última chance ... não vá lá ..╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬╬═╬agora você vai ter 5 anos de sorte se vc copiar e colar isso em 5 comentarios !Ja Que Deseu Curtii Aii Também !
10151475870412592_10052740	Alexis Torres
10151475870412592_10053091	SO FLUFFY!!!!
10151475470447592_10050289	COME OOOONNNN !!!!!!!!!
10151475470447592_10051342	Oscar Altamirano
10151475470447592_10054348	Same ^^
10151475061702592_10049839	be-do-be-do
10151474083177592_10043359	BANANA. <3
10151474083177592_10043366	POTATOOOO!
10151474083177592_10043454	Joha Guzman
10151474083177592_10043475	Vanessa Juarez
10151474083177592_10043485	Fernando Veronica :D
10151474083177592_10043495	Be do Be do Be do.....lol
10151474083177592_10043685	http://www.youtube.com/watch?v=ZYXTZh8CW4E  POTATO OH OH!!
10151474083177592_10043845	Yes I do
10151474083177592_10043909	Bee do! Bee do! Bee do! Bee do! Lol
10151474083177592_10043935	Bee do bee do! Lol
10151474083177592_10044098	Tim Santoro!!!
