10151475870412592_10052251	j
10151475870412592_10052420	love it
10151475870412592_10052439	Krizia Ocejo
10151475870412592_10052457	Pooja
10151475870412592_10052604	no im not
10151475870412592_10053634	I love it!
10151475470447592_10052651	Inviteme no??jajaja...
10151475061702592_10051566	i love it
10151475061702592_10053750	Elijah Abrenica
10151474083177592_10043354	I love i love!
10151474083177592_10043579	Sanja Stojcic #besties
10151474083177592_10043591	love it
10151474083177592_10043811	Ami Ami Zaveri(:
10151474083177592_10043889	Love it
10151474083177592_10044168	love minions
10151474083177592_10044302	Opa Opa
10151474083177592_10044309	Karen Alejandra Gonzalez
10151474083177592_10044592	Lala Martinez :-D like
10151474083177592_10044869	Olga Gomez
10151474083177592_10044909	I love it
10151474083177592_10045324	If you like to smoke talk to me
10151474083177592_10045906	Jj
10151474083177592_10046037	A co to za kosmici
10151474083177592_10048574	OH MY GOD Yolanta Szalwinska
10151474083177592_10048874	double like!!!!
10151474083177592_10049782	#ok
10151474083177592_10050530	Zona Brave
10151474083177592_10051129	love it
10151474083177592_10052364	I love movie
10151474083177592_10053291	jajaja
10151474083177592_10054229	jk
10200651737429014_5567780	Mateo ehhhh no! jajajajajajajaja
10200651737429014_5568008	jajajaj esta genial !
10200651737429014_5568262	Maddie Mroczenski
10200651737429014_5568511	Eh no Kevin Alberto Perez lol
10200651737429014_5568592	Jodi Block
10200651737429014_5568919	I love it
10200651737429014_5568982	ajajjajajaja Arlem Gomez R
10200651737429014_5569698	jajajajaja saludos
10200651737429014_5570195	I love it :)
10200651737429014_5571470	Love
10200651737429014_5572478	I love
10200651737429014_5574037	jajajajaj hay mi guzz!! Enrique Oregel
10200651737429014_5575047	Love it
10200651737429014_5575424	Moises Pozo Gavilan
10200651737429014_5578285	i love it
10151472024302592_26562537	Miznadz Chickiitah :)
10151472024302592_26563632	3 july.....oh no......
10151472024302592_26565413	Love
10151466363202592_10012997	Love*
10151466363202592_10014093	Love it
10151466363202592_10014613	This movie is gana be súper funny jajajajaja
10151466363202592_10015325	i love papol.. lol :p
10151466363202592_10017873	Supra Sal
10151466363202592_10019409	love it !!!!
10151466363202592_10020912	jl
10151466363202592_10023041	jajaja
10151465222882592_10007546	Oh no, not Dave!
10151463422487592_10005657	Jajajajajaja I totally <3 Jajajajajajaja it can rack me up
10151463422487592_10005686	love u gru
10151463422487592_10005779	Ana Báez jajaja bee do bee so bee do jajaja
10151463422487592_10005800	beto veto beto
10151463422487592_10005808	Ale Alv Bee do bee do jajaja
10151463422487592_10005884	Love it
10151463422487592_10006471	vedo vedo vedo
10151463422487592_10007064	Luisa Fernanda Rodas jajajajajaj Bee do....
10151463422487592_10007289	Ana Báez jaja I just wrote.. bee do bee do bee do jajaja
10151463422487592_10007314	I      love it
10151463422487592_10007854	Rebecca Granovskaya BEEDO BEEDO BEEDO!!!!
10151463422487592_10010288	Bedo bedo bedo bedo bedo bedo bedo jajajaja this movie i think that is gana be súper funny jajaja
10151463422487592_10011078	good movie
10151463488692592_26496228	Love it
10151463488692592_26496296	Vanessa Sanchez 󾌳jejehe
10151463488692592_26496302	Ziva Zaragoza
10151463488692592_26496374	love!!
10151463488692592_26496416	❤Love love love❤
10151463488692592_26497395	Love you too flaketosa Mariliz
10151463488692592_26497759	I love it!!!
10151463488692592_26498136	Love it
10151463488692592_26498489	Love it
10151463488692592_26498562	Love it
10151463488692592_26498807	Azucena González
10151463488692592_26500228	love it!!!!!!!!!!!!
10151463488692592_26501518	:p
10151463488692592_26502033	Krisztina Gurzo :))
10151463488692592_26502215	^v^
10151463488692592_26502461	I m lovin it...
10151463488692592_26503197	Peťulka :3 :D už se těším ♥ :D
10151463488692592_26503419	Love it
10151463488692592_26503771	love it
10151463488692592_26503952	i love it
10151463488692592_26504402	i love it
10151463488692592_26508141	I love it
10151463488692592_26508319	love love love it !!!
10151463488692592_26509976	Love :)
10151463488692592_26512139	Hajajaja loquillo! Muah Mario Saviñon
10151463488692592_26516361	i lov it
10151463488692592_26564405	i love it
10151463488692592_26571719	love it
10151463488692592_26571870	i love it
10151463242167592_9997748	Marjorie Mejia IT'S A DATE!
10151463242167592_9997810	H-oću i ja gledati to...
10151463242167592_9997879	Love it
10151463242167592_9998311	Nina Telarović
10151463242167592_9998527	So stoked
10151463242167592_9998688	Me too  i love #1  C:
10151463242167592_9999413	Elizabeth DjladyPhizz Barajas\(^_^)/
10151463242167592_10042307	Love it
10151463242167592_10054942	love it
10151461896262592_9991362	jejejjejejejjje que cura
10151461896262592_9991582	Love IT!
10151461896262592_9991716	I love it
10151461896262592_9991868	Moises Naranjo :)
10151461896262592_9992108	lovely.like
10151461896262592_9992467	Love.  Love.  Love.
10151461896262592_9993089	minjion
10151461896262592_9993294	Love it
10151461896262592_9994492	love evil minyin
10151461896262592_9994996	2 obvi
10151461896262592_9995298	Katrina Parubleva
10151461896262592_9996151	i love i just love it
10151461896262592_9996554	OMG love love love it!<3
10151461896262592_9998225	jajajajaja
10151461896262592_10005762	I love it
10151461896262592_10014071	cool jajajajajajajaja
10151461642247592_9989693	kevin!!!!
10151461642247592_9995781	<3 1 dit tek ty do vi  do kap ato 5
10151461642247592_9997383	Love it
10151461642247592_9999744	Lo de ser infantil se hereda..jejejeje
10151461642247592_10007499	mi novio zxD
10151460189872592_26471742	Jajajjajajajaja :-):-D
10151460189872592_26473266	gotta love dave :)
10151460189872592_26473306	oh dave....... :)
10200590565219747_5530543	I love it!
10200590565219747_5530578	love it
10200590565219747_5530614	i love it
10200590565219747_5530742	Daniela Boza buajajaja!
10200590565219747_5530751	Haz Reyes  Karla Mtz Soto jejejeje
10200590565219747_5531334	Boopiglovesyunjae Jung
10200590565219747_5531621	Vanja Junuzovic  minion na 2:35
10200590565219747_5531727	love love love <3
10200590565219747_5531925	Bacho Gvazava meore gamodiis
10200590565219747_5531942	love it...
10200590565219747_5531998	love it
10200590565219747_5532143	I love it!
10200590565219747_5532247	love it
10200590565219747_5532390	Love!!!
10200590565219747_5532401	love it
10200590565219747_5532461	love it
10200590565219747_5532902	love it
10200590565219747_5533144	Quiero verla me encanta jejejeje
10200590565219747_5533451	love it
10200590565219747_5533626	love it!
10200590565219747_5533888	"BOTTOM" jajajajaja
10200590565219747_5533907	i love it!
10200590565219747_5534126	amor mira al 2:42 jajaj como come jajaj :3 Glendy Contreras
10200590565219747_5535787	love it
10200590565219747_5536752	jajajajajaajajajajajajjaajja!!!!! bottom!!!
10200590565219747_5537938	jajajaja, genial!!! :D
10200590565219747_5555398	love it
10151453631942592_9971068	lovely
10151453631942592_9971116	Lussy Mitkova
10151453631942592_9971386	:v
10151453631942592_9971865	ejejjee!!!1
10151453631942592_9971900	Love Gru!
10151453631942592_9972344	I love Gru!!!!
10151453631942592_9972974	jajaja no entiendo nada de k k dicen!!!
10151453631942592_9973504	jiji
10151453631942592_9973586	Spos
10151453631942592_9973681	I so love him go best dads
10151453631942592_9974929	 igualito jajaja deise serrano en lo enojón 
10151453631942592_9974936	Jaja...
10151453631942592_9975614	Isidro Enriquez   se parece ati jajajaa
10151453631942592_9976393	Love Gru!!!!!
10151453631942592_9976506	Hahajaja
10151453631942592_9976509	Love love love love <3
10151453631942592_9976785	Jajajajaja
10151453631942592_9977786	oh glob.
10151453631942592_9980103	Love Gru
10151453631942592_9980321	k tiene patty jajajajajajajjjajjajajaaa
10151453631942592_9994545	trop naze
10151453631942592_10021058	vn
10151453631942592_10035354	Äpril
10151453631942592_10053400	Jajaj!!
10151453703652592_9964583	nice B-|
10151453703652592_9965322	Problem solved Ana!
10151453634962592_9959684	lol in love
10151453634962592_9959806	kdjfa;iej;raoifndklvaslkfajf
10151453634962592_9960283	oh snap
10151453634962592_9960485	Lov
10151453634962592_9960690	Jahnvi Upreti
10151453634962592_9961062	dislike!
10151453634962592_9961293	ganda nito favoret ko to
10151453634962592_9962983	love
10151453634962592_9967381	Jijijijij jijijijijijiji
10151453634962592_9984280	rape
10151453634962592_9996364	love
10151453634962592_10015522	Love <3 lol
10151453634962592_10015755	ohhh love.
10200585376410030_5515689	Oscar Neftali Reyes Lopez jajajaja
10200585376410030_5515743	Love it
10200585376410030_5515778	Love it love it!
10200585376410030_5515853	Lin Jose jaja mira bebe
10200585376410030_5515885	Venkata Revanth
10200585376410030_5515925	XD jajajajajajajajaja jajaja
10200585376410030_5515963	I love it!
10200585376410030_5516118	Jose Nino
10200585376410030_5516142	Anik Girouard
10200585376410030_5516163	Jajaja
10200585376410030_5516230	u look like a good mom :D
10200585376410030_5516260	:v
10200585376410030_5516345	I love it!!!
10200585376410030_5516415	I love it!!!
10200585376410030_5516464	love it!!!!
10200585376410030_5516637	lov it
10200585376410030_5516646	i love it!!!!!!!!!!!!!!!!!!!!!
10200585376410030_5516763	jajajajajaja la <3 ! ya quiero verla...
10200585376410030_5516813	Love it
10200585376410030_5516847	Hey look, its Nicki minaj!
10200585376410030_5516978	Love!
10200585376410030_5517007	Dariela Kafie jajajaj<3
10200585376410030_5517053	I love it!
10200585376410030_5517062	Isael Dm jejeje tienes k venir a verla :) juntos !!!
