10151475870412592_10052264	Roni Pham
10151475870412592_10052329	❤ it!
10151475870412592_10052339	happy*
10151475870412592_10052352	Omg...YESSS!
10151475870412592_10052379	omg Emma Gramling :D
10151475870412592_10052727	papoy....
10151475870412592_10053751	Alyssa Lynn Zamora
10151475470447592_10050283	waitingg..
10151475470447592_10050677	Why is it taking so long
10151475470447592_10051156	Naomi
10151475470447592_10051260	Zihan Xiong
10151475470447592_10051496	bababananana
10151475470447592_10052468	Can't wait, taking my kids =)
10151475470447592_10052688	i already saw it
10151475061702592_10048742	ba ba ba ba banana ;) is that the free song? lol
10151475061702592_10048795	Bababa babanana potatoooooooo ♡
10151475061702592_10048821	waiting...
10151474083177592_10043346	Omg omg omggg
10151474083177592_10043396	papoy?
10151474083177592_10043409	Papoy?
10151474083177592_10043444	papol, no banana
10151474083177592_10043452	Papoy?
10151474083177592_10043479	Ohhhh....Papoy!
10151474083177592_10043499	banana!
10151474083177592_10043517	Jay Payton
10151474083177592_10043523	Papoyyyyyyyy =D
10151474083177592_10043580	Banana >:O
10151474083177592_10043660	Julyssa Martinez
10151474083177592_10043666	Banana potato !
10151474083177592_10043678	Banana Banana Banana Banana Banana Banana I cant wait
10151474083177592_10043700	banana poteytoe ba ba ba babbaba
10151474083177592_10043717	what Tina said!
10151474083177592_10043766	Natasha Ann
10151474083177592_10043810	Emma Gramling it's a plan :D
10151474083177592_10043834	Paboi
10151474083177592_10043967	Bahnana!!
10151474083177592_10044003	Banana!!!!!*.*
10151474083177592_10044010	Banana ahhhPotato ohhh
10151474083177592_10044022	Phoebe loom its kapatidz haha
10151474083177592_10044066	Seeing it soon
10151474083177592_10044224	omg part 2 lol
10151474083177592_10044290	I'm taking my little girl.
10151474083177592_10044563	Muhuuuuuu im dying to see it Maryan Dugre !!! Omg <3
10151474083177592_10044585	Anghie Uy
10151474083177592_10044700	I saw it already!
10151474083177592_10044713	Owwww my bananas.. :-)
10151474083177592_10045005	Waitng!!!
10151474083177592_10045112	Banana
10151474083177592_10045179	papaoy papoy
10151474083177592_10045192	Lol i just da minions!! Papaoy papoay :D
10151474083177592_10045479	Say hmmmm
10151474083177592_10045730	Simonay Freeman
10151474083177592_10047096	wanna hear the banana song again
10151474083177592_10047300	Anna Cristina
10151474083177592_10047494	saw it n 3d AMAZING N FUNNY
10151474083177592_10047833	I'm dying waiting!!!
10151474083177592_10047846	seeing it on saturday
10151474083177592_10047856	No, no, no, no, no.....Papoy!
10151474083177592_10048083	*has banana in hand*
10151474083177592_10048288	hey minion's have a bananannananannannananananannanannannanana!!! lol ( all of them saying banana at once )
10151474083177592_10048883	Dan Pfeil!! :P papoy!
10151474083177592_10048915	:psy:
10151474083177592_10049141	I'm going!!!
10151474083177592_10049172	Tina Nguyen
10151474083177592_10049453	Banana! Po-ta-to Nah!
10151474083177592_10049752	Mirna Maturino
10151474083177592_10049814	Samantha Villalobos󾌧󾌧󾌧
10151474083177592_10049841	Already saw it
10151474083177592_10049980	going
10151474083177592_10050034	THE MINIONS  Tyson Frucci Brooke Evans Bababababanana
10151474083177592_10050184	already saw it
10151474083177592_10050412	Saw it. :)
10151474083177592_10050728	aaaaa pa poy!!!
10151474083177592_10050794	papo
10151474083177592_10052450	Papoy?  Aahh, papoy....
10151474083177592_10052677	bananna
10151474083177592_10052741	Saw it...IT WAS AWESOME
10151474083177592_10052991	Alyssa Fontana Anthony Messina Nikki Macolino
10151474083177592_10053626	Dat Pham
10151474083177592_10053851	Lisa y Mili
10151474083177592_10053979	Dayummm look at orlando
10151474083177592_10054159	ryan moua and chongleng moua
10200651737429014_5567658	Zahra & Asma :)
10200651737429014_5567763	Omg !!!!!! :o \^o^/ Adrian Salais & Rafael Trinidad
10200651737429014_5567840	AnaCarina Ramirez
10200651737429014_5567943	Song*
10200651737429014_5568005	Elana Zoleikhian
10200651737429014_5568191	Mabayag ni
10200651737429014_5568207	Angela
10200651737429014_5568295	Briana Epp
10200651737429014_5568550	Angelica
10200651737429014_5568754	ehh nah nahnah ehh nah nah na nahehheh
10200651737429014_5569586	Ah, no.
10200651737429014_5569709	"Because I'm happy" (Sing-along)
10200651737429014_5570034	Mary Israel bading oh ito na lang! :-D
10200651737429014_5570666	Zihan Xiong :D :D :D
10200651737429014_5570752	no. YAAy!
10200651737429014_5570921	Oggy Oggy yep
10200651737429014_5571310	Karina Lopez omg i wanna go!!!!!!!!!!
10200651737429014_5571879	Ah no :)
10200651737429014_5576074	No no yay!! Lmao!!!!
10151472024302592_26556743	papoy??? ....papoyyyyyyyyy!!!!!!
10151472024302592_26556789	oppan gangnam style
10151472024302592_26557036	Jay Payton
10151472024302592_26557048	Ana Lol 󾍇
10151472024302592_26557067	Hey I saw it Saturday
10151472024302592_26557190	bababa,nanana.
10151472024302592_26557802	banana banana bananananananananananaaaaaaaaaaaaaaa
10151472024302592_26558234	clap along!
10151472024302592_26558680	Banana-- Banana-- Adrian Paulo Alvez Teodoro
10151472024302592_26559090	Banana
10151472024302592_26559728	going
10151472024302592_26561607	papoy!!! :P
10151472024302592_26563707	it so long gry
10151466363202592_10012662	Timothy Biggs hahahaha
10151466363202592_10012676	poopaye :))
10151466363202592_10012696	Papoy :D
10151466363202592_10013025	Carolina Andrea manyas? haha
10151466363202592_10013314	AWEWW
10151466363202592_10013360	Papoy
10151466363202592_10014104	paiting....
10151466363202592_10014461	Haha poopaye
10151466363202592_10014586	Abigail Dominguez
10151466363202592_10015057	aw
10151466363202592_10015797	Marina Tostes Diana Luong !!
10151466363202592_10016021	Mandy Zhao
10151466363202592_10016140	papoye??
10151466363202592_10016760	Pappoyy (:
10151466363202592_10017297	Tooo long
10151466363202592_10019647	Papoy
10151466363202592_10021680	Papoy?
10151466363202592_10026118	Poopaye.
10151466363202592_10029433	Omg xd
10151466363202592_10029784	Haha...poop.
10151466363202592_10035775	papoy!!!!!
10151466363202592_10037001	He says my last name (':
10151465222882592_10043463	Liliana Navarrete Ayon *-*!
10151463422487592_10005702	tapoy tapoy
10151463422487592_10005740	Aysa
10151463422487592_10005841	Waiting...
10151463422487592_10007820	That's Nana Peliigrosaz Lol
10151463422487592_10008295	I want ....:):D;):o:p
10151463422487592_10008703	Tarin Arneson lmao!
10151463422487592_10012348	Nino nino nino that's how we say :D
10151463422487592_10012412	Ba na , na, na, na , na
10151463422487592_10016710	babababababana lolz banana and potatttooo!!
10151463418597592_10004701	banana
10151463488692592_26496334	Angie
10151463488692592_26496343	Angelito
10151463488692592_26496400	ANNOYING song
10151463488692592_26496418	Cat Gragnani
10151463488692592_26496517	:) haha nice song
10151463488692592_26496647	Paulina Zamora
10151463488692592_26496666	Pham Thi Hoa may zo koi cai nay nek
10151463488692592_26496673	Karla Guzmán look that *-*
10151463488692592_26496757	Clap along....♪♫ :)
10151463488692592_26496794	ang tawag dyan ay JAK0L
10151463488692592_26496830	Happy!  :)
10151463488692592_26496868	gahahahaha :D *claps along*
10151463488692592_26496966	Happy song makes happy ❤
10151463488692592_26497203	Abigail Dominguez
10151463488692592_26497328	papoi!
