419551477591_2817364	18
419551477591_2817491	http://www.youtube.com/pearzonalized
419551477591_2817982	http://www.facebook.com/pages/Team-Damon-Salvatore-3/248621872531?ref=nf
419551477591_2818196	http://www.youtube.com/teekayxd
419551477591_2818201	http://www.rdsc77.com/v/plipplop78/
419551477591_2818710	http://www.youtube.com/watch?v=D4i7vS_UO4Q
419551477591_2818737	http://www.youtube.com/watch?v=4nSINQJlSTc&feature=youtube_gdata
419551477591_2819246	http://www.facebook.com/pages/Team-Damon-Salvatore-3/248621872531?ref=nf
419551477591_2819964	http://www.youtube.com/watch?v=5Y7W6BaNs_I
419551477591_2830003	#^^}>,
419551477591_2838371	=3
419551477591_2911302	^__^
419551477591_3600687	:)
419551477591_8939160	:3
114439718608568_384745	http://www.facebook.com/pages/Killerjonet/130921163587240?ref=ts
128373800539579_804139	:)
144774822206152_1156232	:)
144774822206152_1156767	 :)
112199138831567_318597	199!
138296222866138_1028152	!
138296222866138_1028378	▓▓▓▓████░░░░░░░░░██▓▓▓▓▓▓▓ ▓▓██░░░░░░░░░░░░░░░███▓▓▓▓ ▓██░░░░░░░░░░░░░░░░░░░░█▓▓ ██░░░░░████░░░░████░░░░░█▓ █░░░░░░████░░░░████░░░░░░█ █░░░░░░████░░░░████░░░░░░█ █░░██░░░░░░░░░░░░░░░░█░░░█ █░░░░████████████████░░░░█ █░░░░░██░█░█░█░█░█░█░░░░░█ ██░░░░░██░█░█░█░█░█░░░░░█▓ ▓██░░░░░░█████████░░░░░█▓▓ ▓▓▓██░░░░░░░░░░░░░░░░██▓▓... See More▓▓▓▓▓███░░░░░░░░░░███▓▓▓▓▓▓▓▓▓▓▓▓▓██████████▓▓▓▓▓▓▓▓
413476945162_13255497	▓▓▓██░░░░░░░░░░░░░░░░░█▓██░░░░░░░░░░░░░░░░░░░░█ ██░░░░░░██░░░░░░░░░░░░░░█ █░░░░░░████░░░░░░░░░░░░░░█ █░░░░░░████░░░░████░░░░░░█ █░░░░░░░██░░░░░░░░░░░░░░░█ █░░░░░░░░░░░░░░░░░░░░░░░░█ █░░░░░██░░░░░░░░░░██░░░░░█ ██░░░░░██░░░░░░░░██░░░░░█ ▓██░░░░░░█████████░░░░░█ ▓▓▓██░░░░░░░░░░░░░░░░██ ▓▓▓▓████░░░░░░░░░░░█░░
142312399112617_1100225	3:)
142312399112617_1129243	http://moviereviewintelligence.com/movie-reviews/despicable_me/
131308593573389_882833	http://www.facebook.com/pages/when-i-dont-know-the-words-to-a-song-i-sing-the-instumental-break-instead/122079057834915?ref=ts
141487362533976_1074025	;)
141524869197121_1071471	:3
849804892055_14141797	♥\
849804892055_14229587	<3
849804892055_14312585	<3
136388736389195_968973	:)
136388736389195_969132	http://www.formspring.me/coolbeanz12
140938119256387_1071403	5
140938119256387_1072383	http://www.facebook.com/pages/Getting-Up-And-Acting-Normal-After-Tripping-And-Falling/105328579511913
849101327005_1996214	<3 <3
849101327005_14397892	:-)
849101327005_14425937	:(
106640889386474_167504	:))
123132391062650_640491	http://www.despicable.me/pops/mmc/?dl=61682788252229b2f18c56c30b86874bc
407215145162_24154877	:)
407215145162_24154887	:):)
406475065162_13135457	:)
406475065162_18078369	:)
406457585162_13134909	<3
406457585162_13148183	<3
406884592591_2619024	:) <3
397448250162_12954179	:)
381855535162_12974583	http://www.youtube.com/watch?v=3Y_Ux1ckixI
329900217591_21438023	#
329829905162_25528867	<3
317303110212_11485663	http://www.youtube.com/watch?v=A5fKfWMcD48
329038045228_11720970	:)
221686580162_8691337	http://unless.of-cour.se/they/get/their/hands/on/a/Moo/Cow/Toy! ;)
221512542591_1901037	<3
221512542591_5060846	<3
1169085900475_102877	http://www.imdb.com/title/tt1323594/
104201417556_3483296	http://en.wikipedia.org/wiki/Despicable_Me
