10151475870412592_10053498	con ngựa kìa :(
10151475870412592_10054724	Trang Trần =)))))))))))))
10151475870412592_10054770	trời ạ >_<
10151475470447592_10054098	Mưa Kem nhìn cí mặt hình sự :v
10151474083177592_10043442	Trạch Nữ :)
10151474083177592_10043490	LIKE!!!!
10151474083177592_10044107	Nguyen Hao Phung :3
10151474083177592_10044584	Trang Nguyen ne`..ne`
10151474083177592_10045403	THESE GUYS!!!!
10151474083177592_10046669	TOTALLY!!
10151474083177592_10046943	CUTIE!
10151474083177592_10050196	Xin Trinh
10151474083177592_10050929	h
10151474083177592_10053871	hi hi hi...
10200651737429014_5567739	Ehhhh NO!!
10200651737429014_5567931	Uhhhhhhh NO
10200651737429014_5567962	Ngô Trung Kiên phần 2 này. sắp chiếu r
10200651737429014_5567965	Achi :D
10200651737429014_5567977	Tao chả thích phim nay lam
10200651737429014_5567991	Déjà vu! ★★★★★ ;-D
10200651737429014_5568390	Khi nào mới về VN đây trả lời tui 1 tiếng đi để tui biết tui mần nữa
10200651737429014_5568557	Ai NO
10200651737429014_5568726	uhhhhh, NO!
10151472024302592_26558424	AWWWE THEM LOV
10151472024302592_26560678	Mai Thu huhu m ơi :(((((((
10151472024302592_26561669	muốn tới đây quá =)) Hùng Thần Thánh Dung Dinh Ngọc Hà Lê
10151472024302592_26561697	làm ngay 1 vé
10151466363202592_10012731	@minh
10151466363202592_10012734	Minh Nguyễn
10151466363202592_10012740	Ahhhhh
10151466363202592_10013135	NEW PROFILE PIC!!!
10151466363202592_10013177	HI
10151466363202592_10016009	Minion nói tiếng j ý nhỉ?
10151466363202592_10020914	nn
10151466363202592_10024177	HOOPLAH!! :)
10151466363202592_10024555	Uhhhh!!!
10151466363202592_10026596	Hum wa e đọc cái này nèh ngố Nathan Van
10151463422487592_10006827	hi
10151463422487592_10007814	LOVE HIM ...
10151463422487592_10008142	NEED TO SEE THIS
10151463422487592_10016081	hi
10151463422487592_10030813	QQ
10151463418597592_10006238	true
10151463488692592_26496241	LOVE PHARRELL
10151463488692592_26496278	Thúy Hiền :)
10151463488692592_26496425	Tom nghe hay này :D
10151463488692592_26496442	http://www.kiss108.com/d/?6y PLEASE VOTE
10151463488692592_26496521	ThanhVy Lam
10151463488692592_26496641	Sóc Top :))))
10151463488692592_26497240	LOVE THE SONG
10151463488692592_26498073	CUTE!!!
10151463488692592_26499569	Oggy Oggy xem đê
10151463488692592_26502744	Hou Chong Yim
10151463488692592_26503486	Nguyễn Phú Hải
10151463488692592_26503834	Nguyễn Thanh Thi Mai
10151463488692592_26505147	I LOVE TO BE HAPPY
10151463488692592_26505717	Ká Heo nghe rồi làm bài vui vẽ =)) tui đi ngủ :v
10151463488692592_26505733	Hoàng Phan ngủ ngon nhoa :v cảm ơn nhoa :v nhưg mà tui phải đợi ai xem trc cho đảm bảo rùi tui sẽ xem sau :v
10151463488692592_26505744	thoi ngay cái tính đa nghi đi Ká Heo =)))) bài này nội dung lành mạnh,ko thấy số người like ah
10151463488692592_26505753	Hoàng Phan ờ :)) tại sợ quá mà ra :v
10151463488692592_26506612	Nguyễn Chí Hiếu <3
10151463488692592_26507775	HAHA
10151463488692592_26508979	HAPPY!
10151463488692592_26509313	HAPPY
10151463488692592_26532276	Trà Nguyễn: minions' kiss =))
10151463488692592_26539123	HAHA
10151463488692592_26558384	LOVE THIS
10151463488692592_26572273	Chuong Bui : e muốn con unicorn hoặc minions :D
10151463488692592_26582902	Ngọc Mee Thứ cưng đang tìm kiếm :)))
