positive	Let's kick off with the score I've given it. 5/10. That's for the reasonable job with the comedy, design, and things not related to story and pacing (with the exception of Gollum and the cave scene).
mutual	I was convinced the (many) criticisms I read beforehand were exaggerated and wouldn't bother me. To my surprise, quite some criticisms seemed justified in the end ...
negative	Peter Jackson's return to the world of Tolkien is rather weak. At first I was against the idea of such a small book being made into a trilogy. I still am.
positive	Best of the best. Pete has crafted a masterpiece. I should say at this point, I am a new fan of LOTR movies after seeing this movie.
positive	First of all, let me first say that while I enjoyed the LOTR trilogy, and admired the directorial and technical greatness of it, I'm no LOTR fanboy, and I also recognize its flaws.
negative	"All great stories deserve a little embellishment." So says Gandalf the Grey (Ian McKellen) in the most telling line in The Hobbit: An Unexpected Journey, Peter Jackson's return to the world of JRR Tolkien.
negative	First came the original trilogy, a popular success and critically acclaimed. Then, some years later, a second trilogy began, a prequel to the original, and the first installment of this second trilogy turned out to be awful.
negative	I was about 8 years old when I was first introduced to the Hobbit from the animated 1 hour movie. The movie was a yearly event. As a child, it freaked me out. But, my Dad loved Glenn Yarbrough and the music, so, I was made to sit through it.
negative	THE QUALITY OF THE FILM Imagine "Spy Kids" with elements of Tolkien's writing. Technological demonstration, a large budget at the hands of a tasteless creative group.
positive	I was a mere child when I watched LOTR franchise and I still liked it. Ever since, year by year, I grew fonder and fonder of the movies and they remain, and probably forever will, one of my favorite movies of all time.
positive	The movie is amazing. It is unlike anything I've ever experienced in a cinema. The vividness of the colors and light and movement is something to behold.
negative	If misstepping were an aerobic exercise, Peter Jackson would be in excellent shape. Although I am loath to admit it, this adaptation of "The Hobbit" is unsatisfactory in many, many ways.
negative	This is the first of three films Peter Jackson has made to adapt J.R.R. Tolkien's prequel to Lord of the Rings.
positive	The Hobbit: An Unexpected Journey brings back the magic of Middle Earth, but I think it's unfortunate that it will experience the inevitable comparison to The Lord of the Ring
positive	Some love stories are built on passion, some on courage and some on hope. Very rarely do you come across a love story that encompasses itself around a journey.
negative	I am bitterly disappointed by this film. It's noisy, jumbled, and chaotic, far too violent (it was a children's book, for heaven's sake!), and almost completely formless.
mutual	Watched the IMAX 3D HFR version.
positive	Firstly, I have to make a statement- the LOTR movies, for me, have set an impossibly high bar both in this universe and within the movie world as a whole. Their cinematic beauty and value cannot be denied.
positive	This movie was so EPIC i'm speechless. I went with high expectations because Peter Jackson is awesome, but man, they weren't high ENOUGH.
negative	What a disappointment ! While I watched all LOTR movies with great enjoyment, this one is just a movie created to fill someone's pockets.
mutual	On learning that The Hobbit, a 400 page children's book was to be extended over three films (Unexpected Journey being the first) it seemed Peter Jackson may have been seeking a compromise between the children friendly book and the more darker and foreboding LOTR trilogy.
negative	The movie starts out as a warm return to middle-earth, we get a nice background-story of how the dwarfs lost their hometown, Erebor, to Smaug, the gold-seeking dragon.
positive	"The Hobbit: An Unexpected Journey" simultaneously takes director Peter Jackson in two different directions. While at first glance it may seem that he is travelling over familiar ground, again tackling the fantastical world of J.
positive	A shortish book is drawn out to not one but three full-length feature films, the better to flesh out characters who need, uh, fleshing, and the better to tell every bit of the tale.
negative	The Hobbit is absolutely terrible. Maybe the most uninspired musical I've ever seen. Its like they reshot the lord of the rings with a veneer of hobbit overlaid on top.
mutual	The Hobbit suffers from all the faults of LOTR but to a greater degree.
positive	First off I have never read The Hobbit, but from what I gather the book isn't all that long, so the fact that this film is the first of three, suggests they may be milking it a little.
positive	I absolutely adored LORD OF THE RINGS especially the first film Fellowship Of The Ring and when it was announced THE HOBBIT was going to be turned in to a film I looked forward .
mutual	Okay, I'm a big fan of the LOTR franchise. I was eagerly awaiting this movie and looking forward to seeing it. Maybe I was expecting too much, but I found it a colossal disappointment in multiple areas.
negative	Martin Freeman plays young Bilbo Baggins who's been given the role of Burglar in a quest to reclaim some hill once exploited by The Dwarfs that since long has been domiciled by a nasty dragon named Smaug.
negative	When I first heard that Peter Jackson had decided to make "The Hobbit" into three movies I was rather surprised. "The Hobbit" is not a long or complex book.
